YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 17:19:48', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1630746360000844804'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 17:19:36', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1630746360000836585'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 17:19:29', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1630746360000831650'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 17:19:23', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630746360000827473'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 17:19:15', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1630746360000821826'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 17:18:12', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1630746360000778052'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 17:16:37', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630746360000711711'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-04 15:31:10', name='九条裟罗', lang='zh-cn', item_type='角色', rank_type='4', id='1630739160001273391'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-02 12:54:03', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1630555560003001479'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 21:45:06', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630501560006201995'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:06:05', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1630472760002549085'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:05:57', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1630472760002496095'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:05:49', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1630472760002443151'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:05:43', name='冷刃', lang='zh-cn', item_type='武器', rank_type='3', id='1630472760002404461'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:05:38', name='黎明神剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630472760002370888'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:05:32', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630472760002330683'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:05:24', name='九条裟罗', lang='zh-cn', item_type='角色', rank_type='4', id='1630472760002277751'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 13:05:17', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630472760002230408'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:51:51', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160030564079'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:51:36', name='祭礼大剑', lang='zh-cn', item_type='武器', rank_type='4', id='1630469160030440026'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:51:29', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160030381388'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:51:24', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160030339460'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:51:17', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160030280508'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:50:18', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029789886'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:50:18', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029789885'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:50:18', name='九条裟罗', lang='zh-cn', item_type='角色', rank_type='4', id='1630469160029789884'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:50:18', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029789883'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-09-01 12:50:18', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1630469160029789882'}
